round_id,action_id,net_input,net_output,action,amount
8,11,"[1.0, 0.0, 0.0, 0.0, 0.6666666865348816, 0.3333333432674408, 0.16661784052848816, 0.1807047575712204, 0.8666666746139526, 0.013333333656191826, 0.019999999552965164, 0.013333333656191826]",0.0767960324883461,raise,120
9,12,"[1.0, 0.0, 0.0, 0.0, 0.8333333134651184, 0.5, 0.242919921875, 0.39892578125, 0.8866666555404663, 0.013333333656191826, 0.019999999552965164, 0.013333333656191826]",0.07981762290000916,raise,120
10,13,"[1.0, 0.0, 0.0, 0.0, 0.1666666716337204, 0.1666666716337204, 0.5772705078125, 0.6685791015625, 0.8933333158493042, 0.02666666731238365, 0.05999999865889549, 0.013333333656191826]",0.0855947732925415,raise,140
11,14,"[1.0, 0.0, 0.0, 0.0, 0.1666666716337204, 0.1666666716337204, 0.406982421875, 0.33740234375, 0.9466666579246521, 0.006666666828095913, 0.019999999552965164, 0.013333333656191826]",0.0768604427576065,raise,120
12,15,"[1.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.2346598356962204, 0.2008056640625, 0.9666666388511658, 0.03999999910593033, 0.05999999865889549, 0.013333333656191826]",0.07624544203281403,raise,120
12,16,"[1.0, 0.0, 0.0, 0.0, 0.1666666716337204, 0.0, 0.4967041015625, 0.4735107421875, 0.8866666555404663, 0.1599999964237213, 0.3400000035762787, 0.013333333656191826]",0.07812733948230743,fold,0
13,17,"[1.0, 0.0, 0.0, 0.0, 0.5, 0.1666666716337204, 0.22515869140625, 0.1923828125, 0.8866666555404663, 0.013333333656191826, 0.019999999552965164, 0.013333333656191826]",0.07624440640211105,raise,120
14,18,"[1.0, 0.0, 0.0, 0.0, 0.6666666865348816, 0.3333333432674408, 0.13916422426700592, 0.126953125, 0.9066666960716248, 0.013333333656191826, 0.019999999552965164, 0.013333333656191826]",0.07693176716566086,raise,120
15,19,"[1.0, 0.0, 0.0, 0.0, 0.8333333134651184, 0.5, 0.22015380859375, 0.2235107421875, 0.9266666769981384, 0.019999999552965164, 0.029999999329447746, 0.019999999552965164]",0.08003928512334824,raise,120
16,20,"[1.0, 0.0, 0.0, 0.0, 0.1666666716337204, 0.1666666716337204, 0.5142822265625, 0.5274658203125, 0.9366666674613953, 0.03999999910593033, 0.09000000357627869, 0.019999999552965164]",0.07899949699640274,raise,150
17,21,"[1.0, 0.0, 0.0, 0.0, 0.3333333432674408, 0.3333333432674408, 0.2893880307674408, 0.325439453125, 1.0166666507720947, 0.05000000074505806, 0.09000000357627869, 0.019999999552965164]",0.07649469375610352,call,90
17,22,"[0.0, 1.0, 0.0, 0.0, 0.1666666716337204, 0.1666666716337204, 0.3935546875, 0.412109375, 0.9666666388511658, 0.0, 0.14000000059604645, 0.019999999552965164]",0.08114462345838547,raise,120
18,23,"[1.0, 0.0, 0.0, 0.0, 0.3333333432674408, 0.0, 0.3790283203125, 0.446533203125, 1.1066666841506958, 0.019999999552965164, 0.029999999329447746, 0.019999999552965164]",0.07680568844079971,raise,120
19,24,"[1.0, 0.0, 0.0, 0.0, 0.6666666865348816, 0.1666666716337204, 0.23067626357078552, 0.1778564453125, 1.1366666555404663, 0.05999999865889549, 0.09000000357627869, 0.019999999552965164]",0.07643432915210724,call,90
19,25,"[0.0, 1.0, 0.0, 0.0, 0.1666666716337204, 0.0, 0.5487060546875, 0.1851806640625, 1.0766667127609253, 0.0, 0.15000000596046448, 0.019999999552965164]",0.0777677670121193,raise,120
20,26,"[1.0, 0.0, 0.0, 0.0, 0.6666666865348816, 0.3333333432674408, 0.2619222104549408, 0.3338216245174408, 1.2266666889190674, 0.019999999552965164, 0.029999999329447746, 0.019999999552965164]",0.07671371102333069,raise,120
21,27,"[1.0, 0.0, 0.0, 0.0, 0.8333333134651184, 0.5, 0.1170857772231102, 0.1119384765625, 1.256666660308838, 0.019999999552965164, 0.029999999329447746, 0.019999999552965164]",0.08062878996133804,raise,120
