action_id,hero_BBs,at_preflop,at_flop,at_turn,at_river,equity_preflop,equity_flop,equity_turn,equity_river,nb_players,action_fold,action_call,action_raise,amount,winnings
9823,184.5,1,0,0,0,0.71,0.48,0.37,0.42,3,0,0,1,3,1.5
9824,186,1,0,0,0,0.03,0.25,0.24,0.19,4,1,0,0,0,0
9825,186,1,0,0,0,0.02,0.27,0.22,0.22,2,1,0,0,0,0
9826,186,1,0,0,0,0,0.16,0.18,0.33,3,1,0,0,0,0
9827,186,1,0,0,0,0.53,0.42,0.35,0.4,4,0,0,1,1.5,1.5
9828,187.5,1,0,0,0,0.44,0.45,0.51,0.42,2,0,0,1,3,1.5
9829,189,1,0,0,0,0.81,0.49,0.4,0.39,3,0,0,1,1.5,1.5
9830,190.5,1,0,0,0,0.14,0.21,0.26,0.21,4,0,0,1,190.5,1.5
9831,192,1,0,0,0,0.27,0.41,0.45,0.42,2,0,0,1,192.5,1.5
9832,193.5,1,0,0,0,0,0.14,0.15,0.17,3,0,0,1,3,1.5
9833,195,1,0,0,0,0.01,0.16,0.15,0.19,4,0,0,1,195,1.5
9834,195.5,1,0,0,0,0.75,0.63,0.62,0.62,2,0,0,1,13,4
9835,199,1,0,0,0,0.76,0.64,0.68,0.62,2,0,0,1,3,1.5
9836,200.5,1,0,0,0,0.29,0.33,0.35,0.24,3,0,0,1,1.5,30.5
9837,199,1,0,0,0,0.42,0.48,0.54,0.59,2,0,0,1,13.5,30.5
9838,187,1,0,0,0,0.5,0.48,0.46,0.48,2,0,0,1,90,30.5
9839,231,1,0,0,0,0.67,0.62,0.53,0.47,2,0,0,1,1.5,1.5
9840,232.5,1,0,0,0,0.89,0.59,0.52,0.47,3,1,0,0,0,0
9841,231.5,1,0,0,0,0.46,0.45,0.48,0.4,2,0,0,1,24,-7
9842,224,1,0,0,0,0.07,0.31,0.36,0.38,2,1,0,0,0,0
9843,224,1,0,0,0,0.79,0.51,0.39,0.5,3,1,0,0,0,0
9844,224,1,0,0,0,0.34,0.48,0.48,0.34,2,0,0,1,3,1.5
9845,225.5,1,0,0,0,0.2,0.25,0.31,0.35,3,0,0,1,225.5,1.5
9846,227,1,0,0,0,0.34,0.41,0.46,0.44,2,0,0,1,227.5,1.5
9847,228.5,1,0,0,0,0.25,0.34,0.41,0.41,3,1,0,0,0,0
9848,228.5,1,0,0,0,0.74,0.63,0.58,0.63,2,1,0,0,0,0
9849,228.5,1,0,0,0,0.53,0.43,0.28,0.37,3,0,0,1,3,1.5
9850,229,1,0,0,0,0.03,0.22,0.32,0.26,2,0,0,1,9,57.5
9851,221,1,0,0,0,0.01,0.22,0.2,0.33,2,0,0,1,230,57.5
