round_id,seats
13,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 20900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 18950}]"
14,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 20950}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 18900}]"
15,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 21050}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 18800}]"
16,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 21100}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 18750}]"
17,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 21200}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 18650}]"
18,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 21250}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 18600}]"
19,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 21350}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 18500}]"
round_id,seats
0,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
1,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19850}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 20000}]"
2,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19750}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 20100}]"
3,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19700}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 20150}]"
4,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19600}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 20250}]"
5,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19550}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 20300}]"
6,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19450}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 20400}]"
7,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19400}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 20450}]"
8,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19300}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 20550}]"
9,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19250}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 20600}]"
10,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19150}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 20700}]"
11,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19100}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 20750}]"
12,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19000}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 20850}]"
13,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 18950}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 20900}]"
14,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 18850}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 21000}]"
15,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 18800}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 21050}]"
16,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 18700}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 21150}]"
17,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 18650}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 21200}]"
18,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 18550}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 21300}]"
19,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 18500}, {'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-2', 'stack': 21350}]"
